mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_preprocessor__text_bow__ngram_range,param_preprocessor__text_bow__min_df,param_preprocessor__text_bow__max_features,param_classifier__penalty,param_classifier__class_weight,param_classifier__C,params,split0_test_score,split1_test_score,split2_test_score,mean_test_score,std_test_score,rank_test_score
13.97744886080424,0.742807653359484,2.894491116205851,0.28098243343576657,"(1, 2)",3,10000,l2,balanced,0.05,"{'preprocessor__text_bow__ngram_range': (1, 2), 'preprocessor__text_bow__min_df': 3, 'preprocessor__text_bow__max_features': 10000, 'classifier__penalty': 'l2', 'classifier__class_weight': 'balanced', 'classifier__C': 0.05}",0.9492877492877493,0.9548022598870056,0.9653998865570051,0.9564966319105866,0.006685976082395979,1
6.304370800654094,0.8168757569987652,2.083067258199056,0.3384109048169895,"(1, 1)",1,7000,l2,balanced,2.0,"{'preprocessor__text_bow__ngram_range': (1, 1), 'preprocessor__text_bow__min_df': 1, 'preprocessor__text_bow__max_features': 7000, 'classifier__penalty': 'l2', 'classifier__class_weight': 'balanced', 'classifier__C': 2}",0.9423076923076923,0.9467787114845938,0.9572162007986309,0.948767534863639,0.0062467308880125305,2
16.498001495997112,0.3680539023777285,2.178947925567627,0.058954200628771596,"(1, 2)",1,5000,l1,balanced,0.5,"{'preprocessor__text_bow__ngram_range': (1, 2), 'preprocessor__text_bow__min_df': 1, 'preprocessor__text_bow__max_features': 5000, 'classifier__penalty': 'l1', 'classifier__class_weight': 'balanced', 'classifier__C': 0.5}",0.9434389140271493,0.9504504504504504,0.9523809523809523,0.9487567722861842,0.003841997898082513,3
14.170134464899698,0.32484858990883025,2.744304100672404,0.049341957664256954,"(1, 2)",2,5000,l2,,5.0,"{'preprocessor__text_bow__ngram_range': (1, 2), 'preprocessor__text_bow__min_df': 2, 'preprocessor__text_bow__max_features': 5000, 'classifier__penalty': 'l2', 'classifier__class_weight': None, 'classifier__C': 5}",0.9412435824301197,0.9465391108610017,0.9582618639222413,0.9486815190711209,0.0071109263784855156,4
4.818481047948201,0.7741254068866515,1.5111117362976074,0.19656460142789134,"(1, 1)",2,7000,l2,,2.0,"{'preprocessor__text_bow__ngram_range': (1, 1), 'preprocessor__text_bow__min_df': 2, 'preprocessor__text_bow__max_features': 7000, 'classifier__penalty': 'l2', 'classifier__class_weight': None, 'classifier__C': 2}",0.9430523917995444,0.9481981981981982,0.954727793696275,0.9486594612313392,0.004777609238371031,5
29.075931708017986,0.6687545373425908,4.240325291951497,0.17759877718928088,"(1, 3)",1,5000,l1,,0.5,"{'preprocessor__text_bow__ngram_range': (1, 3), 'preprocessor__text_bow__min_df': 1, 'preprocessor__text_bow__max_features': 5000, 'classifier__penalty': 'l1', 'classifier__class_weight': None, 'classifier__C': 0.5}",0.9394977168949772,0.9528676888131743,0.952544311034877,0.9483032389143428,0.006227843758585262,6
37.49694935480753,0.4158397638438534,5.575974941253662,0.3433631139876212,"(1, 3)",2,3000,l1,,0.5,"{'preprocessor__text_bow__ngram_range': (1, 3), 'preprocessor__text_bow__min_df': 2, 'preprocessor__text_bow__max_features': 3000, 'classifier__penalty': 'l1', 'classifier__class_weight': None, 'classifier__C': 0.5}",0.9416475972540046,0.9511363636363637,0.9508009153318078,0.947861625407392,0.004396115012870334,7
3.65059494972229,0.46821140509617143,1.41063396135966,0.07787390323337784,"(1, 1)",3,7000,l1,balanced,1.0,"{'preprocessor__text_bow__ngram_range': (1, 1), 'preprocessor__text_bow__min_df': 3, 'preprocessor__text_bow__max_features': 7000, 'classifier__penalty': 'l1', 'classifier__class_weight': 'balanced', 'classifier__C': 1}",0.9440361786319955,0.9472502805836139,0.9513574660633484,0.947547975092986,0.002996306496205396,8
15.928081353505453,0.8191993685108021,2.3167904218037925,0.10754757960764869,"(1, 2)",3,7000,l1,,1.0,"{'preprocessor__text_bow__ngram_range': (1, 2), 'preprocessor__text_bow__min_df': 3, 'preprocessor__text_bow__max_features': 7000, 'classifier__penalty': 'l1', 'classifier__class_weight': None, 'classifier__C': 1}",0.9414440022740194,0.9474872953133823,0.9531428571428572,0.947358051576753,0.004776911782600833,9
29.67636203765869,0.6478052684834529,2.6140428384145102,0.01919620079936848,"(1, 3)",3,10000,l1,balanced,2.0,"{'preprocessor__text_bow__ngram_range': (1, 3), 'preprocessor__text_bow__min_df': 3, 'preprocessor__text_bow__max_features': 10000, 'classifier__penalty': 'l1', 'classifier__class_weight': 'balanced', 'classifier__C': 2}",0.9413092550790068,0.9495515695067265,0.9511918274687855,0.9473508840181729,0.004324239565091337,10
